feature_key,feature_layer,feature,metric,family,lane,bit,control_bit,rule,threshold_delta,balanced_accuracy,errors,tp_pass_to_fail,tn_fail_to_pass,false_pass_to_fail,false_fail_to_pass,samples
sdf::direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_0__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq8,0,ge_pass_to_fail,-108.5,0.683333,9,7,12,6,3,28
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_2__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,2,le_pass_to_fail,110.0,0.683333,9,7,12,6,3,28
sdf::direct_max__idelay_data_cntvaluein__lane0__dq3__ctrl_0__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane0__dq3__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq3,0,ge_pass_to_fail,-438.0,0.677778,10,8,10,8,2,28
sdf::direct_max__idelay_data_cntvaluein__lane0__dq7__ctrl_0__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane0__dq7__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq7,0,ge_pass_to_fail,-233.0,0.677778,10,8,10,8,2,28
skew::signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_3__ld_vs_cntvaluein_dq_lane__value_ps,skew,signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_3__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,3,ge_pass_to_fail,-728.5,0.677778,10,8,10,8,2,28
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_0__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,0,le_pass_to_fail,-566.0,0.672222,7,4,17,1,6,28
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_2__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,2,ge_pass_to_fail,-283.5,0.672222,11,9,8,10,1,28
skew::signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_2__dqs_vs_dq_lane__value_ps,skew,signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_2__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,2,ge_pass_to_fail,-168.5,0.672222,11,9,8,10,1,28
sdf::direct_max__dq_iologic__lane1__dq15__ctrl_none__endpoint__value_ps,sdf,direct_max__dq_iologic__lane1__dq15__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq15,,le_pass_to_fail,-378.0,0.661111,9,6,13,5,4,28
sdf::direct_max__idelay_data_cntvaluein__lane0__dq3__ctrl_4__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane0__dq3__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq3,4,ge_pass_to_fail,138.5,0.661111,9,6,13,5,4,28
