family,manhattan,cell,type,baseline_bel,variant_bel
read_bist_state17,30,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_do_wr_or_rd_d,SLICE_LUTX,SLICE_X13Y106/A5LUT,SLICE_X13Y76/C5LUT
idelay_programming,28,$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$N$memwr$idelay_data_cntvaluein$rtl/ddr3_controller.v:2496$N_DATA[4:0]$N[0],SLICE_LUTX,SLICE_X1Y66/B6LUT,SLICE_X3Y92/A6LUT
idelay_programming,28,$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$N$memwr$idelay_dqs_cntvaluein$rtl/ddr3_controller.v:2497$N_DATA[4:0]$N[0],SLICE_LUTX,SLICE_X1Y64/D6LUT,SLICE_X0Y91/A6LUT
read_bist_state17,27,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[13],SLICE_LUTX,SLICE_X12Y78/D6LUT,SLICE_X11Y104/A6LUT
read_bist_state17,27,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[5],SLICE_LUTX,SLICE_X12Y71/B6LUT,SLICE_X8Y94/A6LUT
read_bist_state17,23,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[11],SLICE_LUTX,SLICE_X12Y72/A6LUT,SLICE_X14Y93/A6LUT
read_bist_state17,21,$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$Nlate_dq[1:0][0],SLICE_LUTX,SLICE_X9Y56/A5LUT,SLICE_X8Y36/A5LUT
read_bist_state17,20,$abc$$lut$memoryddr3_top_inst.ddr3_controller_inst.delay_read_pipe$wrmux[1][1][0]$y$N,SLICE_LUTX,SLICE_X12Y60/A5LUT,SLICE_X15Y43/A5LUT
read_bist_state17,20,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_we_d,SLICE_LUTX,SLICE_X12Y80/B6LUT,SLICE_X12Y60/A6LUT
read_bist_state17,20,ddr3_top_inst.ddr3_controller_inst.dqs_target_index_orig[1]$LUT$N,SLICE_LUTX,SLICE_X12Y55/A6LUT,SLICE_X12Y35/A6LUT
read_bist_state17,20,ddr3_top_inst.ddr3_controller_inst.dqs_target_index_orig[1]$LUT$N,SLICE_LUTX,SLICE_X12Y55/A5LUT,SLICE_X12Y35/A5LUT
read_bist_state17,20,ddr3_top_inst.ddr3_controller_inst.dqs_target_index_orig[2]$LUT$N,SLICE_LUTX,SLICE_X12Y55/B5LUT,SLICE_X12Y35/B5LUT
read_bist_state17,20,ddr3_top_inst.ddr3_controller_inst.dqs_target_index_orig[3]$LUT$N,SLICE_LUTX,SLICE_X12Y55/C5LUT,SLICE_X12Y35/C5LUT
read_bist_state17,20,ddr3_top_inst.ddr3_controller_inst.dqs_target_index_orig[4]$LUT$N,SLICE_LUTX,SLICE_X12Y55/D5LUT,SLICE_X12Y35/D5LUT
read_bist_state17,20,ddr3_top_inst.ddr3_controller_inst.dqs_target_index_orig[5]$LUT$N,SLICE_LUTX,SLICE_X12Y56/A5LUT,SLICE_X12Y36/A5LUT
read_bist_state17,18,$abc$$lut$memoryddr3_top_inst.ddr3_controller_inst.delay_read_pipe$wrmux[0][1][0]$y$N,SLICE_LUTX,SLICE_X12Y60/B5LUT,SLICE_X14Y44/A5LUT
phy_reset_release,17,ddr3_top_inst.ddr3_phy_inst.delay_before_release_reset[0]$LUT$N,SLICE_LUTX,SLICE_X8Y86/A6LUT,SLICE_X0Y95/A6LUT
phy_reset_release,17,ddr3_top_inst.ddr3_phy_inst.delay_before_release_reset[0]$LUT$N,SLICE_LUTX,SLICE_X8Y86/A5LUT,SLICE_X0Y95/A5LUT
phy_reset_release,17,ddr3_top_inst.ddr3_phy_inst.delay_before_release_reset[1]$LUT$N,SLICE_LUTX,SLICE_X8Y86/B5LUT,SLICE_X0Y95/B5LUT
phy_reset_release,17,ddr3_top_inst.ddr3_phy_inst.delay_before_release_reset[2]$LUT$N,SLICE_LUTX,SLICE_X8Y86/C5LUT,SLICE_X0Y95/C5LUT
read_bist_state17,17,$abc$$lutddr3_top_inst.ddr3_controller_inst.shift_reg_read_pipe_d[0][1],SLICE_LUTX,SLICE_X8Y90/B5LUT,SLICE_X11Y76/B5LUT
read_bist_state17,17,$abc$$lutddr3_top_inst.ddr3_controller_inst.shift_reg_read_pipe_d[1][1],SLICE_LUTX,SLICE_X8Y90/A6LUT,SLICE_X11Y76/A5LUT
read_bist_state17,17,$abc$$lutddr3_top_inst.ddr3_controller_inst.shift_reg_read_pipe_d[3][2],SLICE_LUTX,SLICE_X9Y89/A5LUT,SLICE_X11Y74/B5LUT
read_bist_state17,17,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_do_rd_d,SLICE_LUTX,SLICE_X14Y79/A5LUT,SLICE_X12Y64/A6LUT
read_bist_state17,16,$abc$$lutddr3_top_inst.ddr3_controller_inst.shift_reg_read_pipe_d[1][2],SLICE_LUTX,SLICE_X10Y89/B6LUT,SLICE_X10Y73/B5LUT
read_bist_state17,16,$abc$$lutddr3_top_inst.ddr3_controller_inst.shift_reg_read_pipe_d[2][2],SLICE_LUTX,SLICE_X10Y89/B5LUT,SLICE_X11Y74/B6LUT
read_bist_state17,15,$abc$$lutddr3_top_inst.ddr3_controller_inst.shift_reg_read_pipe_d[0][2],SLICE_LUTX,SLICE_X10Y88/A5LUT,SLICE_X10Y73/C5LUT
read_bist_state17,15,$abc$$lutddr3_top_inst.ddr3_controller_inst.shift_reg_read_pipe_d[2][1],SLICE_LUTX,SLICE_X9Y91/B5LUT,SLICE_X8Y77/A5LUT
read_bist_state17,14,$abc$$lutddr3_top_inst.ddr3_controller_inst.shift_reg_read_pipe_d[3][1],SLICE_LUTX,SLICE_X11Y92/B5LUT,SLICE_X11Y78/A5LUT
read_bist_state17,13,$abc$$lut$memoryddr3_top_inst.ddr3_controller_inst.o_wb_ack_read_q$wrmux[0][1][0]$y$N[0],SLICE_LUTX,SLICE_X10Y82/B5LUT,SLICE_X11Y70/C5LUT
read_bist_state17,13,$abc$$lut$memoryddr3_top_inst.ddr3_controller_inst.o_wb_ack_read_q$wrmux[0][1][0]$y$N[1],SLICE_LUTX,SLICE_X11Y83/A5LUT,SLICE_X11Y70/B5LUT
read_bist_state17,13,$abc$$lut$memoryddr3_top_inst.ddr3_controller_inst.o_wb_ack_read_q$wrmux[0][1][0]$y$N[2],SLICE_LUTX,SLICE_X10Y82/A5LUT,SLICE_X11Y70/A5LUT
read_bist_state17,13,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_do_wr_d,SLICE_LUTX,SLICE_X14Y81/A5LUT,SLICE_X12Y70/B5LUT
read_bist_state17,13,bist_counts[10]$LUT$N,SLICE_LUTX,SLICE_X0Y194/C6LUT,SLICE_X4Y203/C6LUT
read_bist_state17,13,bist_counts[11]$LUT$N,SLICE_LUTX,SLICE_X0Y194/D6LUT,SLICE_X4Y203/D6LUT
read_bist_state17,13,bist_counts[12]$LUT$N,SLICE_LUTX,SLICE_X0Y195/A6LUT,SLICE_X4Y204/A6LUT
