comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
baseline_all,skew,abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_2__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,2,ld_vs_cntvaluein_dqs,36,24,11.0,212.0,1257.0,8.0,356.0,833.0,144.0,0.605324,fail_higher,0.605324,0.210648,overlap,0.0,3.095883
baseline_all,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,2,dqs_vs_dq_bit,36,24,-918.0,-259.5,781.0,-880.0,-46.0,999.0,213.5,0.604745,fail_higher,0.604745,0.209491,overlap,0.0,3.078873
baseline_all,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,0,dqs_vs_dq_bit,36,24,-779.0,-37.5,606.0,-741.0,-136.0,750.0,-98.5,0.395255,fail_lower,0.604745,-0.209491,overlap,0.0,3.078873
baseline_all,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,4,dqs_vs_dq_bit,36,24,-791.0,27.0,758.0,-903.0,-156.5,1066.0,-183.5,0.396412,fail_lower,0.603588,-0.207176,overlap,0.0,3.044852
baseline_all,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,2,dqs_vs_dq_bit,36,24,-1056.0,-266.5,655.0,-861.0,-120.5,863.0,146.0,0.603588,fail_higher,0.603588,0.207176,overlap,0.0,3.044852
baseline_all,direct,direct_max__idelay_data_cntvaluein__lane0__dq3__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq3,0,endpoint,36,24,1059.0,1457.5,1940.0,1042.0,1562.0,2125.0,104.5,0.603588,fail_higher,0.603588,0.207176,overlap,0.0,3.044852
baseline_all,direct,direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq9,4,endpoint,36,24,827.0,1217.5,1973.0,633.0,1301.0,1662.0,83.5,0.603588,fail_higher,0.603588,0.207176,overlap,0.0,3.044852
baseline_all,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,0,dqs_vs_dq_bit,36,24,-692.0,-8.0,668.0,-828.0,-97.0,837.0,-89.0,0.396991,fail_lower,0.603009,-0.206019,overlap,0.0,3.027841
baseline_all,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,2,dqs_vs_dq_bit,36,24,-1308.0,-198.5,832.0,-607.0,-135.0,483.0,63.5,0.602431,fail_higher,0.602431,0.204861,overlap,0.0,3.010831
baseline_all,direct,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,4,lane_control_bit,36,24,142.0,378.0,863.0,153.0,319.5,768.0,-58.5,0.397569,fail_lower,0.602431,-0.204861,overlap,0.0,3.010831
baseline_all,skew,dq_lane_range__idelay_cntvaluein_skew__lane0__no_bit__ctrl_4__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane0,,4,dq_lane,36,24,142.0,378.0,863.0,153.0,319.5,768.0,-58.5,0.397569,fail_lower,0.602431,-0.204861,overlap,0.0,3.010831
baseline_all,direct,direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq15,4,endpoint,36,24,739.0,1216.5,1886.0,669.0,1356.5,1684.0,140.0,0.601852,fail_higher,0.601852,0.203704,overlap,0.0,2.993821
baseline_all,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,2,dqs_vs_dq_bit,36,24,-970.0,-165.0,643.0,-778.0,-70.5,1014.0,94.5,0.601852,fail_higher,0.601852,0.203704,overlap,0.0,2.993821
baseline_all,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,3,dqs_vs_dq_bit,36,24,1.0,186.5,551.0,0.0,248.5,1089.0,62.0,0.601852,fail_higher,0.601852,0.203704,overlap,0.0,2.993821
baseline_all,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,3,dqs_vs_dq_bit,36,24,-536.0,84.0,551.0,-764.0,215.5,1089.0,131.5,0.600694,fail_higher,0.600694,0.201389,overlap,0.0,2.9598
baseline_all,skew,signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,2,lane1_vs_lane0_dq,36,24,-710.0,-299.0,-86.0,-453.5,-279.25,-11.5,19.75,0.600694,fail_higher,0.600694,0.201389,overlap,0.0,2.9598
baseline_all,skew,abs_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,abs_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,2,lane1_vs_lane0_dq,36,24,86.0,299.0,710.0,11.5,279.25,453.5,-19.75,0.399306,fail_lower,0.600694,-0.201389,overlap,0.0,2.9598
baseline_all,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,0,dqs_vs_dq_bit,36,24,-501.0,165.0,751.0,-527.0,-20.5,1240.0,-185.5,0.399884,fail_lower,0.600116,-0.200231,overlap,0.0,2.94279
