feature_a,feature_b,n_pass,n_fail,auc_pair_score_fail_higher,auc_best,fail_minus_pass_median_score
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_1__endpoint__value_ps,6,5,0.866667,0.866667,746.0
direct_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,direct_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,6,5,0.866667,0.866667,742.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_2__lane_control_bit__value_ps,direct_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,6,5,0.866667,0.866667,717.5
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_2__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_1__endpoint__value_ps,6,5,0.866667,0.866667,678.5
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_2__endpoint__value_ps,direct_max__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,6,5,0.866667,0.866667,661.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_2__endpoint__value_ps,direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.866667,0.866667,651.5
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_2__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps,6,5,0.866667,0.866667,623.5
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_2__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps,6,5,0.866667,0.866667,620.0
direct_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,direct_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,6,5,0.866667,0.866667,585.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_2__endpoint__value_ps,direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.866667,0.866667,584.5
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_2__lane_control_bit__value_ps,direct_max__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.866667,0.866667,543.5
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_2__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq12__ctrl_0__endpoint__value_ps,6,5,0.866667,0.866667,542.5
direct_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.866667,0.866667,529.0
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,direct_max__idelay_ld__lane0__dq0__ctrl_none__endpoint__value_ps,6,5,0.866667,0.866667,509.5
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_2__lane_control_bit__value_ps,direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_2__endpoint__value_ps,6,5,0.866667,0.866667,502.0
lane_spread__dq_iologic__lane0__no_bit__ctrl_none__lane__value_ps,direct_max__idelay_ld__lane0__dq0__ctrl_none__endpoint__value_ps,6,5,0.866667,0.866667,486.5
direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_1__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq12__ctrl_0__endpoint__value_ps,6,5,0.866667,0.866667,480.5
direct_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_1__endpoint__value_ps,6,5,0.866667,0.866667,480.0
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_0__endpoint__value_ps,6,5,0.866667,0.866667,468.0
direct_max__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps,6,5,0.866667,0.866667,442.5
direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_1__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq12__ctrl_0__endpoint__value_ps,6,5,0.866667,0.866667,405.5
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,direct_max__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,6,5,0.866667,0.866667,385.0
direct_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,direct_max__idelay_ld__lane0__dq0__ctrl_none__endpoint__value_ps,6,5,0.866667,0.866667,350.5
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq12__ctrl_0__endpoint__value_ps,6,5,0.866667,0.866667,317.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_2__lane_control_bit__value_ps,direct_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,0.866667,0.866667,306.0
direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_1__endpoint__value_ps,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_0__endpoint__value_ps,6,5,0.866667,0.866667,286.5
direct_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,direct_max__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,6,5,0.866667,0.866667,271.5
direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_2__endpoint__value_ps,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_0__endpoint__value_ps,6,5,0.866667,0.866667,224.0
direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps,direct_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,0.866667,0.866667,170.5
